PROCDATE  JOB       FILTER  OBSID   SCANUM  FIELD     MJD      
20250927  jid80735  R062    12743   13       5325283  62165.142
20250927  jid80736  R062    13892   9        5325283  62180.123
20250927  jid80737  R062    14662   9        5325283  62190.123
20250927  jid80738  R062    14277   9        5325283  62185.123
20250927  jid80739  R062    15047   9        5325283  62195.123
20250927  jid80740  R062    15432   9        5325283  62200.123
20250927  jid80741  R062    16966   18       5325283  62220.104
20250927  jid80742  R062    18886   1        5325283  62245.088
20250927  jid80743  R062    17356   4        5325283  62225.120
20250927  jid80744  R062    21187   4        5325283  62275.059
20250927  jid80745  R062    19651   4        5325283  62255.072
20250927  jid80746  R062    20812   16       5325283  62270.091
20250927  jid80747  R062    21192   10       5325283  62275.075
20250927  jid80748  R062    21197   16       5325283  62275.091
20250927  jid80749  R062    24283   4        5325283  62315.110
20250927  jid80750  R062    23503   12       5325283  62305.078
20250927  jid80751  R062    24668   1        5325283  62320.110
20250927  jid80752  R062    25053   10       5325283  62325.110
20250927  jid80753  R062    26993   18       5325283  62350.158
20250927  jid80754  R062    28137   9        5325283  62365.123
20250927  jid80755  R062    28142   2        5325283  62365.139
20250927  jid80756  R062    28147   14       5325283  62365.155
20250927  jid80757  R062    28522   9        5325283  62370.123
20250927  jid80758  R062    28527   1        5325283  62370.139
20250927  jid80759  R062    28907   9        5325283  62375.123
20250927  jid80760  R062    29292   9        5325283  62380.123
20250927  jid80761  R062    29682   7        5325283  62385.139
20250927  jid80762  R062    30066   13       5325283  62390.136
20250927  jid80763  R062    30446   14       5325283  62395.120
20250927  jid80888  R062    3493    3        5333116  62045.110
20250927  jid80889  R062    3878    12       5333116  62050.110
20250927  jid80890  R062    4648    17       5333116  62060.110
20250927  jid80891  R062    5417    7        5333116  62070.107
20250927  jid80892  R062    5422    9        5333116  62070.123
20250927  jid80893  R062    6192    6        5333116  62080.123
20250927  jid80894  R062    5423    17       5333116  62070.126
20250927  jid80895  R062    6572    8        5333116  62085.107
20250927  jid80896  R062    5802    7        5333116  62075.107
20250927  jid80897  R062    6957    9        5333116  62090.107
20250927  jid80898  R062    6962    2        5333116  62090.123
20250927  jid80899  R062    7342    9        5333116  62095.107
20250927  jid80900  R062    7347    2        5333116  62095.123
